Data from MMG 2020 are NOT directly comparable to data from any prior MMG study due to methodological changes made in 2020.,,,,,,,,,,,,,,,,,
FIPS,State Name,State,2018 Food Insecurity Rate,# of Food Insecure Persons in 2018,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI â‰¤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2018 Child Food Insecurity Rate,# of Food Insecure Children in 2018,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2016,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2016,2018 Cost Per Meal,2018 Weighted Annual Food Budget Shortfall
1,Alabama,AL,17.0%,"829,220",130%,SNAP,185%,Other Nutrition Program,50.9%,16.0%,33.1%,23.1%,"251,800",76%,24%,US$3.02,"US$423,745,000"
2,Alaska,AK,12.9%,"95,190",130%,SNAP,185%,Other Nutrition Program,46.7%,15.4%,37.9%,18.1%,"33,200",65%,35%,US$3.60,"US$57,930,000"
4,Arizona,AZ,13.1%,"937,300",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",67.6%,,32.4%,19.0%,"311,390",69%,31%,US$2.93,"US$465,259,000"
5,Arkansas,AR,17.3%,"521,490",130%,SNAP,185%,Other Nutrition Program,53.1%,15.1%,31.8%,23.1%,"162,270",75%,25%,US$2.77,"US$244,364,000"
6,California,CA,10.8%,"4,291,830",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",76.0%,,24.0%,15.2%,"1,362,340",71%,29%,US$3.28,"US$2,385,968,000"
8,Colorado,CO,9.9%,"566,490",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.0%,,34.0%,12.2%,"155,120",70%,30%,US$3.29,"US$315,489,000"
9,Connecticut,CT,11.9%,"426,620",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",56.7%,,43.3%,16.0%,"117,660",64%,36%,US$3.38,"US$244,114,000"
10,Delaware,DE,12.6%,"121,850",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",63.7%,,36.3%,19.0%,"38,680",69%,31%,US$3.18,"US$65,663,000"
11,District of Columbia,DC,11.6%,"81,400",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",70.3%,,29.7%,19.1%,"24,280",74%,26%,US$4.08,"US$56,189,000"
12,Florida,FL,13.0%,"2,768,480",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.2%,,27.8%,19.4%,"819,370",65%,35%,US$3.29,"US$1,540,830,000"
13,Georgia,GA,12.5%,"1,318,500",130%,SNAP,185%,Other Nutrition Program,47.8%,15.9%,36.3%,16.2%,"405,380",68%,32%,US$2.99,"US$667,166,000"
15,Hawaii,HI,11.2%,"159,040",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",52.7%,,47.3%,18.4%,"55,710",49%,51%,US$3.39,"US$91,220,000"
16,Idaho,ID,10.8%,"189,970",130%,SNAP,185%,Other Nutrition Program,48.5%,19.4%,32.1%,12.6%,"56,120",73%,27%,US$3.04,"US$97,790,000"
17,Illinois,IL,10.1%,"1,283,550",165%,SNAP,185%,Other Nutrition Program,60.7%,12.0%,27.2%,12.7%,"363,900",70%,30%,US$2.90,"US$630,473,000"
18,Indiana,IN,13.2%,"883,260",130%,SNAP,185%,Other Nutrition Program,51.6%,16.4%,32.0%,17.5%,"274,080",72%,28%,US$2.68,"US$400,962,000"
19,Iowa,IA,9.7%,"305,100",160%,SNAP,185%,Other Nutrition Program,53.4%,4.9%,41.6%,13.9%,"102,190",63%,37%,US$2.79,"US$144,058,000"
20,Kansas,KS,12.7%,"368,770",130%,SNAP,185%,Other Nutrition Program,42.9%,16.7%,40.3%,18.4%,"129,780",63%,37%,US$2.91,"US$181,639,000"
21,Kentucky,KY,14.8%,"662,660",130%,SNAP,185%,Other Nutrition Program,54.3%,13.2%,32.5%,18.9%,"190,600",70%,30%,US$2.68,"US$300,629,000"
22,Louisiana,LA,16.1%,"751,920",130%,SNAP,185%,Other Nutrition Program,57.8%,11.4%,30.8%,24.6%,"269,650",73%,27%,US$3.05,"US$387,680,000"
23,Maine,ME,12.9%,"173,080",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",61.2%,,38.8%,19.1%,"47,460",63%,37%,US$3.61,"US$105,835,000"
24,Maryland,MD,11.0%,"667,110",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",62.1%,,37.9%,16.1%,"216,070",60%,40%,US$3.20,"US$361,501,000"
25,Massachusetts,MA,8.9%,"617,380",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.8%,,32.2%,10.1%,"138,760",73%,27%,US$3.63,"US$379,733,000"
26,Michigan,MI,13.6%,"1,359,650",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",68.6%,,31.4%,14.7%,"318,960",70%,30%,US$2.84,"US$653,547,000"
27,Minnesota,MN,8.2%,"461,200",165%,SNAP,185%,Other Nutrition Program,59.4%,9.2%,31.3%,12.4%,"161,880",74%,26%,US$3.08,"US$240,696,000"
28,Mississippi,MS,18.7%,"559,350",130%,SNAP,185%,Other Nutrition Program,53.0%,11.9%,35.0%,23.0%,"162,150",73%,27%,US$2.90,"US$274,731,000"
29,Missouri,MO,13.3%,"813,840",130%,SNAP,185%,Other Nutrition Program,47.5%,12.9%,39.6%,15.2%,"209,870",67%,33%,US$2.87,"US$395,122,000"
30,Montana,MT,10.3%,"109,150",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",68.5%,,31.5%,15.9%,"36,560",68%,32%,US$3.02,"US$55,846,000"
31,Nebraska,NE,12.3%,"237,440",130%,SNAP,185%,Other Nutrition Program,43.8%,14.3%,41.8%,16.7%,"79,310",64%,36%,US$2.86,"US$114,880,000"
32,Nevada,NV,12.8%,"388,420",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.0%,,28.0%,19.5%,"134,350",65%,35%,US$3.15,"US$207,140,000"
33,New Hampshire,NH,9.3%,"125,590",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",49.1%,,50.9%,13.3%,"34,280",57%,43%,US$3.40,"US$72,230,000"
34,New Jersey,NJ,8.7%,"774,860",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",66.9%,,33.1%,11.3%,"219,760",73%,27%,US$3.34,"US$437,705,000"
35,New Mexico,NM,15.1%,"315,990",165%,SNAP,185%,Other Nutrition Program,71.4%,4.0%,24.5%,23.8%,"114,180",72%,28%,US$2.91,"US$155,654,000"
36,New York,NY,11.1%,"2,166,060",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.7%,,25.3%,16.9%,"685,500",75%,25%,US$3.23,"US$1,182,494,000"
37,North Carolina,NC,14.0%,"1,456,200",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",71.6%,,28.4%,19.3%,"443,040",75%,25%,US$2.92,"US$719,879,000"
38,North Dakota,ND,6.8%,"51,610",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.7%,,34.3%,9.6%,"16,700",64%,36%,US$3.11,"US$27,186,000"
39,Ohio,OH,13.9%,"1,624,180",130%,SNAP,185%,Other Nutrition Program,50.3%,12.2%,37.5%,18.9%,"489,160",67%,33%,US$2.79,"US$767,710,000"
40,Oklahoma,OK,15.1%,"594,140",130%,SNAP,185%,Other Nutrition Program,46.8%,16.0%,37.2%,21.8%,"208,110",66%,34%,US$2.89,"US$290,887,000"
41,Oregon,OR,11.9%,"498,730",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",65.2%,,34.8%,16.0%,"139,220",70%,30%,US$3.13,"US$264,260,000"
42,Pennsylvania,PA,10.9%,"1,401,920",160%,SNAP,185%,Other Nutrition Program,58.0%,10.3%,31.7%,15.1%,"399,270",68%,32%,US$3.11,"US$737,258,000"
44,Rhode Island,RI,11.4%,"120,970",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.4%,,37.6%,17.8%,"36,270",73%,27%,US$3.38,"US$69,276,000"
45,South Carolina,SC,11.8%,"600,440",130%,SNAP,185%,Other Nutrition Program,54.2%,15.0%,30.8%,16.2%,"178,710",68%,32%,US$2.87,"US$291,600,000"
46,South Dakota,SD,10.8%,"95,080",130%,SNAP,185%,Other Nutrition Program,47.5%,14.3%,38.2%,16.5%,"35,330",70%,30%,US$3.01,"US$48,379,000"
47,Tennessee,TN,14.0%,"950,290",130%,SNAP,185%,Other Nutrition Program,53.7%,14.6%,31.8%,17.7%,"267,110",73%,27%,US$3.03,"US$486,768,000"
48,Texas,TX,15.0%,"4,295,240",165%,SNAP,185%,Other Nutrition Program,63.1%,6.1%,30.8%,21.6%,"1,598,940",68%,32%,US$2.64,"US$1,920,819,000"
49,Utah,UT,11.0%,"347,370",130%,SNAP,185%,Other Nutrition Program,38.3%,16.7%,45.0%,12.1%,"113,190",57%,43%,US$2.91,"US$171,029,000"
50,Vermont,VT,11.3%,"70,580",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",54.6%,,45.4%,15.2%,"17,550",56%,44%,US$3.50,"US$41,756,000"
51,Virginia,VA,9.9%,"842,870",130%,SNAP,185%,Other Nutrition Program,47.1%,13.0%,39.9%,12.5%,"233,530",61%,39%,US$3.10,"US$442,908,000"
53,Washington,WA,10.7%,"804,080",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.5%,,34.5%,14.7%,"244,480",57%,43%,US$3.22,"US$438,026,000"
54,West Virginia,WV,13.9%,"250,600",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.3%,,30.7%,20.3%,"73,770",73%,27%,US$2.70,"US$114,692,000"
55,Wisconsin,WI,8.9%,"515,930",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.4%,,32.6%,14.1%,"179,180",67%,33%,US$2.84,"US$248,085,000"
56,Wyoming,WY,12.2%,"70,640",130%,SNAP,185%,Other Nutrition Program,41.7%,14.4%,43.8%,15.9%,"21,160",59%,41%,US$3.12,"US$37,306,000"