fi_rate_11,fips,state_name,fi_rate_12,fi_rate_13,fi_rate_18,fi_rate_17,fi_rate_16,fi_rate_15,fi_rate_14,fi_rate_10,fi_rate_09
19.4974118940438,1,Alabama,18.569592057109602,18.800626101377002,17.719402985074627,17.155223880597013,18.092537313432835,18.492537313432837,18.95223880597015,19.292537313432835,20.379104477611936
14.694528156210302,2,Alaska,13.969531710344802,14.2491416507512,14.265217391304347,14.778260869565216,14.86521739130435,15.34782608695652,15.9304347826087,14.573913043478258,15.02173913043478
19.090459629418,4,Arizona,17.8471614487762,17.526118880443498,15.753333333333332,15.533333333333335,16.16,16.959999999999997,17.64,19.553333333333335,20.746666666666663
19.714232130318198,5,Arkansas,19.4304695179699,19.743033406062697,18.23866666666667,17.758666666666674,18.13866666666667,19.144,19.754666666666676,18.981333333333335,19.257333333333328
17.426682944606302,6,California,16.2443683110756,14.952682084228199,11.910344827586204,12.389655172413793,13.065517241379311,13.767241379310347,14.662068965517244,17.799999999999997,17.989655172413794
15.5429295989131,8,Colorado,14.568058875985,13.9147481563073,11.039062500000004,10.5609375,11.062499999999998,11.862500000000002,12.810937499999996,14.257812500000002,14.1265625
14.5320382080756,9,Connecticut,13.8833377386643,13.5800649596227,10.762500000000001,10.475,10.725,11.249999999999998,11.974999999999998,12.05,11.7125
13.230665777420098,10,Delaware,13.0303175690116,13.2120045498294,11.366666666666667,11.466666666666669,11.466666666666667,11.633333333333333,11.9,12.0,12.366666666666667
15.715312073217302,11,District of Columbia,14.4767784818835,14.995769194476301,10.7,11.4,11.9,12.7,13.5,16.4595096723815,15.8
18.6745489003776,12,Florida,17.850176585375603,16.9568543936795,13.944776119402986,14.641791044776118,15.507462686567168,16.226865671641796,16.4910447761194,17.788059701492543,17.60597014925373
20.0234126422155,13,Georgia,18.8971813855823,18.7325732246068,14.847798742138362,15.710691823899374,16.447798742138367,16.99308176100629,17.93962264150943,19.516981132075472,19.801257861635236
14.5547384729526,15,Hawaii,14.169227752667698,13.8128590495807,10.85,10.575,11.425,12.350000000000001,13.275,13.674999999999999,14.025
17.301741025940302,16,Idaho,15.795925120070601,15.558861039019,11.577272727272726,12.54318181818182,13.211363636363638,13.640909090909092,14.54772727272727,16.522727272727277,16.18409090909091
15.210277452649,17,Illinois,14.2429023735841,13.624915435213198,10.918627450980395,11.038235294117648,11.579411764705881,11.936274509803921,12.316666666666666,13.556862745098039,14.56176470588235
16.3265725752127,18,Indiana,15.658523795785902,15.4159961600401,12.586956521739127,11.870652173913046,12.470652173913043,12.849999999999998,13.506521739130438,14.607608695652175,16.042391304347824
12.9190098059993,19,Iowa,12.6775022721462,12.5953916883682,9.0,10.614141414141411,11.02323232323233,11.329292929292933,11.920202020202021,12.563636363636363,12.960606060606066
15.089658189254902,20,Kansas,14.7908541687963,14.4898490198714,12.293333333333326,11.83619047619048,12.109523809523806,12.235238095238094,12.846666666666668,12.995238095238099,13.351428571428574
17.1533287743091,21,Kentucky,16.6760455344984,16.4341642597368,16.3625,15.429166666666662,15.709166666666667,15.71083333333334,16.24750000000001,17.409166666666657,18.341666666666665
17.1470627580967,22,Louisiana,16.910432293840802,16.8123455562354,16.535937500000003,16.557812500000004,17.009375,17.257812500000004,17.103125,16.182812499999994,16.045312499999994
15.707113751968802,23,Maine,15.4981372141873,15.5152969731281,13.51875,13.387500000000001,14.11875,14.74375,15.387500000000001,15.349999999999998,16.10625
13.403590659282699,24,Maryland,13.139463372216401,12.775404996682301,11.091304347826089,10.139130434782611,10.343478260869565,11.034782608695652,11.482608695652175,11.226086956521737,11.73913043478261
12.2947335695775,25,Massachusetts,11.8835824201221,11.468253161894,8.478571428571428,9.02142857142857,9.257142857142856,10.22857142857143,10.707142857142857,10.914285714285715,11.071428571428571
17.9197700489065,26,Michigan,16.7964133654951,16.4053356120515,13.66024096385542,12.88795180722892,12.860240963855423,13.172289156626505,14.083132530120478,16.1,18.11927710843373
11.373915991454199,27,Minnesota,10.746515380993099,10.566786830443599,8.6,9.163218390804596,9.2816091954023,9.564367816091957,9.83448275862069,10.491954022988505,11.778160919540225
21.4355355962978,28,Mississippi,22.3050755697126,22.724940132862802,19.312195121951216,20.34512195121951,21.203658536585365,21.93048780487804,22.868292682926832,22.56463414634146,22.310975609756095
17.120003566979403,29,Missouri,17.121090244616898,17.0417084493473,14.19043478260869,14.064347826086955,14.718260869565222,15.260000000000007,15.959130434782606,16.237391304347828,17.210434782608697
14.9288869253526,30,Montana,14.5830286497118,14.2282289086011,10.860714285714284,12.05,12.653571428571428,12.958928571428572,13.19107142857143,14.194642857142863,13.689285714285715
13.6792788177404,31,Nebraska,13.3708788617777,13.216905822588599,12.017204301075273,11.278494623655915,11.405376344086019,11.798924731182797,12.036559139784945,11.4,11.520430107526884
17.3560085806967,32,Nevada,16.8213703061077,15.812490860660601,12.370588235294115,11.341176470588234,12.135294117647062,12.852941176470589,13.452941176470588,15.794117647058824,14.85294117647059
10.6137639831466,33,New Hampshire,10.9251180039948,10.8201311865347,9.379999999999999,9.11,9.390000000000002,9.989999999999998,10.360000000000001,9.959999999999999,10.45
13.9515743686626,34,New Jersey,12.9942839995984,12.380132951447301,8.757142857142856,9.638095238095236,10.014285714285714,10.447619047619048,11.200000000000003,12.423809523809522,12.766666666666667
20.0641237446115,35,New Mexico,18.561157840327102,17.3079293162044,15.48787878787879,15.963636363636363,15.900000000000006,15.742424242424239,16.05757575757576,17.563636363636363,17.593939393939394
14.657904566802001,36,New York,14.0965927843272,13.942813559751599,10.888709677419351,10.904838709677419,11.029032258064513,11.711290322580641,11.914516129032256,12.327419354838712,12.848387096774196
19.2963196122448,37,North Carolina,18.599840259604303,18.2974108606162,15.147,15.419000000000004,15.946999999999996,16.74299999999999,17.095999999999993,18.584999999999997,19.279
7.36915365855085,38,North Dakota,7.73839812014385,7.80073901738059,6.466037735849058,6.4735849056603785,6.986792452830187,7.001886792452829,7.279245283018867,7.683018867924526,8.235849056603774
17.793839055705,39,Ohio,17.1702301367134,16.869003443839,13.621590909090907,13.456818181818186,13.692045454545452,14.098863636363633,14.575000000000005,16.41477272727274,17.586363636363632
17.2443260043233,40,Oklahoma,17.2039571985048,17.001128145250302,15.001298701298706,15.031168831168838,15.37012987012987,15.354545454545454,15.719480519480515,16.53636363636363,17.349350649350647
17.9254978035099,41,Oregon,16.7463679230888,15.751393424790699,13.133333333333333,12.955555555555557,13.577777777777776,14.447222222222226,15.288888888888883,16.391666666666666,17.436111111111114
14.867511174470199,42,Pennsylvania,14.3277693579585,14.1591371276255,10.85223880597015,11.483582089552238,11.98358208955224,12.05373134328358,12.368656716417917,13.225373134328361,13.849253731343286
15.3190995546475,44,Rhode Island,14.656876373427599,14.440172285406401,9.219999999999999,10.419999999999998,11.16,11.64,12.46,13.920000000000002,13.879999999999999
18.5972905798604,45,South Carolina,17.9644318686765,17.0594233648506,12.836956521739127,15.378260869565223,16.08695652173913,17.16521739130435,17.773913043478263,20.40434782608696,21.36086956521739
12.5205986782869,46,South Dakota,12.3428938962314,12.442047777368801,11.343076923076918,12.004615384615386,11.755384615384617,12.347692307692311,12.563076923076927,12.096923076923074,12.238461538461543
17.6031213646975,47,Tennessee,17.0656525784423,17.0539370669051,14.424210526315786,13.327368421052633,14.093684210526323,14.898947368421048,15.549473684210524,16.754736842105267,18.925263157894733
18.745159871704,48,Texas,18.3192479063922,17.593980806174603,15.304330708661418,14.470078740157485,14.861417322834642,15.033858267716532,15.662992125984257,17.42125984251969,17.921653543307084
16.748768822620303,49,Utah,15.544146700489302,14.596300698548601,12.555172413793104,13.413793103448274,13.95862068965517,14.28965517241379,14.479310344827585,16.275862068965516,15.944827586206898
13.0501204442309,50,Vermont,13.3591901739746,13.5662193000654,10.857142857142856,11.500000000000002,11.685714285714287,12.25,12.814285714285717,12.864285714285716,13.778571428571428
12.6809956371832,51,Virginia,12.137138314121199,11.8959058302831,11.11127819548872,11.742857142857144,12.034586466165411,12.487969924812033,12.934586466165408,13.425563909774434,14.051879699248122
16.127143070067802,53,Washington,14.9551718918279,14.6010718641261,12.853846153846154,12.423076923076927,13.061538461538461,13.315384615384618,14.158974358974357,15.679487179487182,16.066666666666663
15.269240968349099,54,West Virginia,14.9982780114185,15.7741125511243,14.085454545454546,13.803636363636361,14.000000000000005,14.89818181818182,15.227272727272727,15.512727272727266,15.025454545454547
13.0329195851301,55,Wisconsin,12.6496621436372,12.433147886721802,8.950000000000001,9.612500000000002,10.233333333333333,10.86527777777778,11.413888888888891,12.484722222222222,13.35
11.989622604979598,56,Wyoming,13.0045869968009,12.781082556147899,12.256521739130434,11.786956521739128,12.434782608695654,12.03478260869565,12.4304347826087,12.134782608695653,11.917391304347827
