fips,pct_overall_pov_19,med_inc_19
1001,12.1,"58,233"
1003,10.1,"59,871"
1005,27.1,"35,972"
1007,20.3,"47,918"
1009,16.3,"52,902"
1011,30,"31,906"
1013,21.6,"39,944"
1015,17.2,"47,747"
1017,19.6,"42,015"
1019,15.9,"45,982"
1021,16,"49,692"
1023,22.6,"39,808"
1025,18.4,"43,822"
1027,16.6,"40,562"
1029,13.3,"51,276"
1031,15,"57,299"
1033,14.6,"46,683"
1035,22.2,"41,539"
1037,17.1,"42,024"
1039,17.2,"44,836"
1041,16.8,"43,309"
1043,12.2,"50,897"
1045,18.1,"45,120"
1047,26,"34,034"
1049,18.2,"44,277"
1051,11.4,"62,310"
1053,20.5,"42,712"
1055,18.8,"43,047"
1057,17,"44,212"
1059,16.1,"44,874"
1061,16.1,"43,089"
1063,31.7,"28,699"
1065,20.5,"40,745"
1067,17.2,"48,597"
1069,19.4,"50,138"
1071,14.7,"44,322"
1073,16.2,"54,127"
1075,15.3,"42,686"
1077,15.7,"48,188"
1079,17.7,"47,797"
1081,15.5,"54,160"
1083,12,"64,729"
1085,26.6,"33,930"
1087,29.3,"34,281"
1089,11.5,"68,609"
1091,24.8,"38,838"
1093,16.9,"44,675"
1095,15.7,"48,913"
1097,17.7,"49,492"
1099,23.3,"40,005"
1101,15.8,"52,711"
1103,13.7,"54,355"
1105,33.9,"29,572"
1107,24.3,"40,249"
1109,21.8,"41,271"
1111,17.5,"42,922"
1113,18.9,"43,670"
1115,11.2,"65,403"
1117,6.2,"77,801"
1119,36.4,"29,209"
1121,17.4,"47,719"
1123,16,"47,100"
1125,16.2,"52,307"
1127,17.3,"45,991"
1129,18.6,"48,864"
1131,32.5,"30,998"
1133,16.7,"40,827"
2013,14.8,"66,923"
2016,7.6,"84,726"
2020,9.5,"82,512"
2050,23.5,"48,262"
2060,9.8,"87,950"
2068,6.6,"78,434"
2070,18.1,"57,436"
2090,7.2,"74,076"
2100,9.8,"62,548"
2105,15.7,"53,141"
2110,6.3,"85,419"
2122,10.4,"68,625"
2130,9.4,"75,706"
2150,7.1,"79,669"
2158,26.8,"35,369"
2164,17.4,"51,693"
2170,9.6,"75,856"
2180,20.7,"58,464"
2185,11.4,"84,784"
2188,24,"61,660"
2195,6.7,"71,296"
2198,17.6,"50,049"
2220,8.1,"80,660"
2230,4,"74,898"
2240,12,"69,646"
2261,8.6,"74,574"
2275,9.7,"62,496"
2282,14.7,"61,587"
2290,24.4,"42,063"
4001,33.4,"35,386"
4003,16.6,"48,650"
4005,15.9,"58,301"
4007,21.1,"45,980"
4009,20.1,"50,685"
4011,9.3,"68,066"
4012,22.1,"39,407"
4013,12.2,"68,634"
4015,16,"49,712"
4017,25.2,"40,676"
4019,14,"56,150"
4021,12.1,"62,067"
4023,18.8,"47,779"
4025,12,"54,242"
4027,20.4,"47,024"
5001,15.8,"52,539"
5003,18.5,"47,744"
5005,12.7,"41,950"
5007,8.9,"70,775"
5009,15.1,"50,083"
5011,22.9,"39,982"
5013,15.4,"48,415"
5015,14.7,"43,841"
5017,31,"37,014"
5019,20.6,"44,105"
5021,18.7,"40,686"
5023,14.1,"46,214"
5025,13.7,"53,773"
5027,21.2,"42,964"
5029,15.6,"46,924"
5031,16.9,"47,766"
5033,18.3,"44,600"
5035,22.4,"41,976"
5037,17.8,"45,273"
5039,18.8,"41,314"
5041,25.4,"37,005"
5043,18.5,"44,162"
5045,14.4,"58,482"
5047,16.2,"45,670"
5049,17.7,"32,926"
5051,16.9,"45,786"
5053,12.1,"58,566"
5055,15.5,"47,098"
5057,18.5,"40,867"
5059,20.2,"45,860"
5061,16.8,"41,427"
5063,15.9,"47,903"
5065,15.9,"40,233"
5067,22.9,"38,636"
5069,24.4,"40,555"
5071,17.5,"40,396"
5073,25.5,"37,164"
5075,18.4,"39,604"
5077,35.4,"30,421"
5079,27.1,"44,272"
5081,17.8,"43,257"
5083,17.4,"42,249"
5085,10.7,"62,782"
5087,16.4,"48,016"
5089,16.3,"38,760"
5091,14.1,"50,905"
5093,23,"39,990"
5095,25.5,"34,289"
5097,19.9,"39,591"
5099,24.1,"36,528"
5101,18.1,"37,648"
5103,17.3,"46,393"
5105,16.5,"50,560"
5107,33.3,"31,521"
5109,16.9,"44,426"
5111,23.1,"40,536"
5113,20.2,"39,722"
5115,16.9,"47,519"
5117,15,"46,205"
5119,14.6,"52,684"
5121,17.3,"42,875"
5123,32,"34,389"
5125,9.6,"66,944"
5127,19.6,"38,065"
5129,22.4,"34,712"
5131,15.9,"48,945"
5133,17.7,"43,493"
5135,23.3,"37,591"
5137,19.3,"36,930"
5139,18.9,"46,602"
5141,19.9,"38,096"
5143,15.1,"52,158"
5145,15.4,"46,388"
5147,27.1,"36,568"
5149,15.6,"44,469"
6001,8.9,"107,589"
6003,17.2,"58,112"
6005,9.8,"62,640"
6007,16.1,"58,394"
6009,12.1,"68,248"
6011,12,"59,048"
6013,7.9,"106,555"
6015,17.9,"48,979"
6017,8.7,"86,202"
6019,20.5,"56,926"
6021,12.1,"55,682"
6023,19.1,"51,134"
6025,22,"48,102"
6027,11.7,"59,605"
6029,19,"53,245"
6031,16,"57,297"
6033,18.3,"46,897"
6035,16.5,"53,613"
6037,13.4,"72,721"
6039,17.6,"61,105"
6041,6.9,"112,069"
6043,15.1,"52,760"
6045,14,"52,309"
6047,17,"59,733"
6049,20.5,"45,311"
6051,10.1,"66,226"
6053,12.6,"76,509"
6055,7.4,"90,230"
6057,9.4,"69,550"
6059,9.5,"95,761"
6061,6.6,"97,688"
6063,13.2,"59,376"
6065,11.3,"72,905"
6067,12.6,"71,891"
6069,10.4,"84,209"
6071,13.3,"67,398"
6073,10.3,"83,576"
6075,9.5,"121,795"
6077,13.6,"68,458"
6079,11.6,"76,599"
6081,6.1,"135,234"
6083,12,"74,530"
6085,6.1,"132,444"
6087,10.6,"85,770"
6089,13.3,"61,464"
6091,12.7,"55,862"
6093,17.4,"45,954"
6095,9,"85,704"
6097,7.2,"87,084"
6099,13,"62,761"
6101,12.8,"60,910"
6103,16.3,"51,672"
6105,16.5,"43,881"
6107,18.9,"56,776"
6109,11.3,"64,729"
6111,8.2,"91,446"
6113,16.9,"70,951"
6115,15.2,"56,607"
8001,9.3,"75,341"
8003,19.6,"38,213"
8005,7.2,"82,364"
8007,10.8,"57,604"
8009,19.3,"38,945"
8011,34.4,"35,764"
8013,10.7,"88,341"
8014,4.1,"106,892"
8015,11,"60,331"
8017,13.7,"52,337"
8019,7.4,"79,900"
8021,19.9,"40,944"
8023,24.6,"34,731"
8025,40,"38,224"
8027,11.8,"57,381"
8029,15.1,"51,525"
8031,12.1,"75,456"
8033,12.8,"50,232"
8035,2.7,"123,697"
8037,7.9,"89,268"
8039,5.7,"101,733"
8041,8.8,"72,675"
8043,16.1,"52,239"
8045,9.6,"73,788"
8047,6.8,"74,806"
8049,8.1,"71,029"
8051,11.6,"60,408"
8053,8.9,"61,391"
8055,20,"39,955"
8057,12.6,"53,577"
8059,7.2,"89,696"
8061,13.5,"46,901"
8063,13.2,"42,951"
8065,11.4,"56,850"
8067,11.3,"77,829"
8069,10.3,"75,332"
8071,17.6,"43,452"
8073,17,"43,077"
8075,12.9,"58,429"
8077,11.2,"60,249"
8079,9.4,"63,015"
8081,12.2,"63,232"
8083,14.9,"52,641"
8085,13.2,"50,707"
8087,11.9,"57,535"
8089,24.2,"43,723"
8091,6.9,"72,836"
8093,8.6,"77,221"
8095,10.4,"53,432"
8097,6.2,"92,820"
8099,18.2,"47,051"
8101,17.8,"51,075"
8103,10.3,"65,960"
8105,14.4,"48,496"
8107,7.2,"87,691"
8109,25.4,"37,004"
8111,13.7,"50,524"
8113,9.9,"77,209"
8115,14.6,"42,808"
8117,6.4,"86,570"
8119,7.9,"70,599"
8121,11.8,"53,263"
8123,8.4,"78,160"
8125,12.8,"52,841"
9001,9,"96,966"
9003,10.8,"75,336"
9005,7.1,"81,015"
9007,7,"81,721"
9009,12,"69,687"
9011,7.8,"75,226"
9013,7.8,"90,181"
9015,11.5,"63,309"
10001,12.7,"58,804"
10003,10.4,"76,076"
10005,12.1,"64,839"
11001,14.1,"90,395"
12001,18.4,"49,880"
12003,14.9,"60,454"
12005,12.1,"58,376"
12007,21,"47,509"
12009,9.4,"57,582"
12011,12.3,"61,429"
12013,20.3,"41,399"
12015,11.4,"54,756"
12017,15.2,"49,762"
12019,8.3,"75,776"
12021,9.4,"76,415"
12023,15.6,"47,087"
12027,21.8,"41,673"
12029,22.2,"39,793"
12031,13.5,"58,339"
12033,15.5,"52,822"
12035,9.7,"62,831"
12037,19.2,"47,504"
12039,19.7,"42,975"
12041,15,"46,171"
12043,19.3,"45,412"
12045,14,"53,228"
12047,32.5,"39,241"
12049,22.1,"41,430"
12051,19.5,"45,107"
12053,12.4,"50,705"
12055,15.8,"45,723"
12057,13.5,"61,133"
12059,20.1,"38,874"
12061,11.5,"61,173"
12063,19.4,"40,543"
12065,17.6,"47,192"
12067,18,"45,480"
12069,10.9,"57,660"
12071,11.2,"62,364"
12073,20.8,"55,081"
12075,18.2,"41,405"
12077,23,"44,236"
12079,22.7,"37,919"
12081,11.3,"64,151"
12083,14.9,"49,079"
12085,8.9,"70,806"
12086,15.7,"54,991"
12087,9.9,"67,528"
12089,9,"72,818"
12091,10.6,"63,520"
12093,18.4,"45,225"
12095,12.6,"63,133"
12097,13.4,"52,270"
12099,11.4,"66,621"
12101,11.3,"55,745"
12103,11.4,"56,708"
12105,14,"51,817"
12107,22.4,"41,986"
12109,6.4,"90,839"
12111,10.5,"57,292"
12113,9.8,"66,139"
12115,7.8,"66,258"
12117,9.3,"69,954"
12119,8.9,"63,464"
12121,17.1,"49,453"
12123,19.9,"42,987"
12125,19.9,"50,893"
12127,13.1,"53,554"
12129,12,"58,640"
12131,10.8,"62,600"
12133,20.1,"42,518"
13001,20.9,"43,821"
13003,23.2,"38,581"
13005,19.2,"41,807"
13007,24.8,"39,515"
13009,22.9,"44,429"
13011,12.8,"53,481"
13013,9.7,"68,924"
13015,12.5,"60,254"
13017,22.8,"35,931"
13019,20.1,"42,058"
13021,23.2,"43,066"
13023,18.5,"48,115"
13025,16.1,"44,680"
13027,21.9,"39,554"
13029,7.8,"79,296"
13031,21.9,"48,788"
13033,23.6,"42,632"
13035,14.7,"47,410"
13037,35.9,"34,960"
13039,13.8,"58,552"
13043,23.1,"41,665"
13045,14.9,"59,193"
13047,10,"60,753"
13049,25.9,"42,891"
13051,14.8,"57,122"
13053,18.5,"46,106"
13055,17.4,"41,561"
13057,6.5,"88,635"
13059,25.7,"41,036"
13061,28.8,"24,732"
13063,16,"50,737"
13065,22,"42,928"
13067,8.3,"79,622"
13069,20.2,"41,675"
13071,21.9,"41,899"
13073,5.6,"88,285"
13075,21.4,"40,670"
13077,9,"79,232"
13079,15.3,"50,411"
13081,26.7,"40,482"
13083,13.5,"45,986"
13085,8.8,"69,155"
13087,23.4,"40,473"
13089,12.9,"63,606"
13091,20.6,"41,118"
13093,28.2,"37,109"
13095,27.6,"36,894"
13097,10.9,"62,915"
13099,27.3,"40,011"
13101,21.6,"40,408"
13103,9.1,"71,628"
13105,20.6,"40,962"
13107,20.9,"38,529"
13109,24.1,"41,425"
13111,12.1,"47,980"
13113,5.4,"94,563"
13115,16.4,"50,520"
13117,4.5,"113,332"
13119,17.3,"47,691"
13121,13.8,"79,235"
13123,14.6,"57,007"
13125,16.9,"49,350"
13127,15.4,"58,017"
13129,12.3,"53,373"
13131,21.7,"42,603"
13133,15,"60,973"
13135,9.2,"72,225"
13137,15.2,"51,296"
13139,13.5,"66,698"
13141,31.2,"31,715"
13143,14.4,"49,020"
13145,6.5,"74,052"
13147,14.6,"50,647"
13149,16.7,"48,984"
13151,8.1,"72,927"
13153,11,"65,641"
13155,20.5,"42,317"
13157,10.3,"66,645"
13159,12.4,"59,207"
13161,21.2,"40,603"
13163,25.1,"35,379"
13165,29,"32,808"
13167,24.2,"37,771"
13169,12.8,"56,819"
13171,14.8,"57,402"
13173,18.5,"42,667"
13175,23.9,"42,018"
13177,9.3,"72,425"
13179,14.5,"51,410"
13181,17.3,"45,299"
13183,14.2,"52,051"
13185,20.4,"46,450"
13187,14.5,"57,078"
13189,18,"44,473"
13191,18.7,"46,682"
13193,29.4,"34,634"
13195,15.6,"52,326"
13197,21.1,"41,190"
13199,22.2,"43,571"
13201,21.3,"41,769"
13205,30.7,"37,383"
13207,10.6,"70,488"
13209,19.4,"43,657"
13211,11.1,"67,089"
13213,14.5,"50,061"
13215,18.4,"47,035"
13217,11.2,"58,222"
13219,5.6,"100,878"
13221,12.8,"54,346"
13223,6.8,"76,580"
13225,19.8,"49,815"
13227,10.3,"66,183"
13229,16.4,"46,701"
13231,8.7,"74,905"
13233,16.2,"47,896"
13235,20.7,"42,274"
13237,15.1,"62,282"
13239,22.8,"35,522"
13241,13,"46,639"
13243,25.3,"33,505"
13245,21.7,"44,810"
13247,12.1,"60,281"
13249,15.9,"51,129"
13251,24.1,"42,331"
13253,22.6,"38,618"
13255,17.7,"49,237"
13257,15,"45,416"
13259,34.7,"34,566"
13261,26.7,"40,250"
13263,19.6,"41,045"
13265,22.5,"37,046"
13267,26.5,"41,457"
13269,22.9,"28,234"
13271,27.7,"36,264"
13273,28.2,"37,122"
13275,18,"47,978"
13277,21.5,"47,764"
13279,19.2,"41,442"
13281,12.7,"49,023"
13283,31.6,"37,478"
13285,19.2,"47,296"
13287,28,"35,400"
13289,19,"44,079"
13291,11.6,"57,049"
13293,19.1,"40,926"
13295,14.7,"47,548"
13297,10.8,"67,007"
13299,26.3,"37,642"
13301,26.5,"37,313"
13303,21.4,"41,674"
13305,18.4,"47,382"
13307,18.4,"41,547"
13309,34.2,"35,927"
13311,10.9,"54,786"
13313,12.7,"53,115"
13315,29.4,"38,261"
13317,19.6,"39,716"
13319,17,"43,902"
13321,20.3,"43,142"
15001,13.1,"64,929"
15003,7.9,"86,946"
15007,9.3,"73,029"
15009,10.7,"77,375"
16001,9.4,"72,295"
16003,12.7,"50,042"
16005,13.5,"53,306"
16007,11.8,"54,550"
16009,15.4,"49,303"
16011,11.1,"59,959"
16013,7.2,"75,778"
16015,11.6,"64,443"
16017,12.6,"56,729"
16019,9.3,"65,165"
16021,14.8,"50,709"
16023,14.6,"51,742"
16025,9,"56,014"
16027,10.1,"58,670"
16029,10.1,"61,518"
16031,12,"53,284"
16033,14.5,"48,726"
16035,13.5,"49,816"
16037,13,"49,055"
16039,14.1,"47,796"
16041,8.2,"55,421"
16043,12.7,"56,162"
16045,12.7,"53,733"
16047,15.1,"50,205"
16049,13.8,"48,866"
16051,9.2,"63,078"
16053,14.2,"56,320"
16055,10,"62,764"
16057,11.7,"54,999"
16059,13.5,"46,062"
16061,13.2,"45,342"
16063,11.2,"50,608"
16065,27.4,"46,177"
16067,11.3,"56,173"
16069,11.1,"67,645"
16071,11.3,"55,833"
16073,14.9,"48,395"
16075,11,"53,643"
16077,13.1,"50,981"
16079,19.1,"39,239"
16081,7.7,"73,637"
16083,11,"56,141"
16085,8.8,"64,041"
16087,13.4,"45,813"
17001,12.3,"55,942"
17003,24,"37,408"
17005,13,"53,447"
17007,8.9,"72,426"
17009,14.8,"60,254"
17011,11.2,"57,935"
17013,9.7,"63,373"
17015,11.1,"56,468"
17017,13,"51,011"
17019,19.9,"53,485"
17021,12.3,"51,573"
17023,10.8,"58,323"
17025,13.8,"49,377"
17027,7.5,"67,201"
17029,16.8,"50,467"
17031,13,"69,375"
17033,12.6,"50,352"
17035,10.1,"53,991"
17037,13,"64,676"
17039,11,"59,521"
17041,8,"64,283"
17043,6,"96,354"
17045,13.2,"51,333"
17047,11.8,"54,930"
17049,9.2,"58,943"
17051,15.1,"48,913"
17053,10,"55,369"
17055,16.4,"43,695"
17057,13.3,"50,461"
17059,19,"46,515"
17061,13.7,"52,116"
17063,5.6,"83,135"
17065,12.7,"51,031"
17067,12.3,"53,724"
17069,18,"44,573"
17071,11,"55,535"
17073,8.7,"61,680"
17075,11.6,"51,542"
17077,25.4,"37,308"
17079,9.9,"59,980"
17081,14.9,"50,531"
17083,10.4,"63,351"
17085,9.3,"62,522"
17087,12.9,"55,022"
17089,8.2,"84,311"
17091,12.7,"60,763"
17093,4,"105,586"
17095,18.6,"43,404"
17097,7.2,"92,638"
17099,12.2,"59,528"
17101,18.4,"47,114"
17103,12,"57,619"
17105,13,"54,422"
17107,12.8,"53,806"
17109,23.3,"49,048"
17111,5.4,"89,379"
17113,14.3,"69,230"
17115,16.7,"52,259"
17117,13.5,"54,174"
17119,10.9,"66,591"
17121,15,"52,291"
17123,9,"63,628"
17125,12.1,"51,967"
17127,15.9,"54,159"
17129,8.2,"77,306"
17131,8.1,"62,241"
17133,4.2,"90,904"
17135,16,"51,665"
17137,13.8,"55,937"
17139,8.6,"65,472"
17141,9.4,"63,565"
17143,14.8,"57,717"
17145,14.4,"56,880"
17147,6.5,"72,265"
17149,14.4,"54,309"
17151,16.9,"46,478"
17153,22,"38,506"
17155,7.6,"74,367"
17157,12.7,"58,444"
17159,13.1,"49,775"
17161,13.6,"57,772"
17163,13.3,"57,726"
17165,15.7,"48,547"
17167,12.2,"61,768"
17169,11.3,"56,015"
17171,11.2,"61,231"
17173,9.4,"61,376"
17175,11.2,"54,804"
17177,11.5,"51,786"
17179,8.2,"66,206"
17181,17.2,"51,575"
17183,16.8,"46,295"
17185,13.5,"54,249"
17187,11.4,"53,621"
17189,8.1,"64,297"
17191,13.1,"51,829"
17193,14.5,"51,388"
17195,11.4,"50,880"
17197,6.5,"90,249"
17199,13.4,"56,958"
17201,16.1,"59,510"
17203,6.1,"77,117"
18001,12.6,"53,532"
18003,10.5,"56,838"
18005,11.2,"71,181"
18007,8.7,"55,016"
18009,12.8,"46,811"
18011,6.9,"84,137"
18013,10.5,"59,617"
18015,8.7,"58,965"
18017,12.6,"51,777"
18019,9.7,"59,441"
18021,11.3,"54,349"
18023,11.3,"55,336"
18025,16.5,"44,332"
18027,11.3,"56,611"
18029,9.3,"71,351"
18031,9.6,"60,891"
18033,9.5,"59,714"
18035,21.5,"45,912"
18037,5.9,"63,869"
18039,9.6,"55,782"
18041,13.5,"48,499"
18043,10.6,"64,614"
18045,12.5,"55,337"
18047,9.2,"67,315"
18049,9.6,"55,011"
18051,9.3,"61,872"
18053,16,"47,509"
18055,13.5,"51,918"
18057,4.2,"107,710"
18059,5.2,"77,905"
18061,8.2,"64,270"
18063,4.9,"85,827"
18065,12.9,"49,293"
18067,12.2,"54,048"
18069,9.7,"54,565"
18071,10.1,"59,472"
18073,8.8,"65,352"
18075,12.5,"49,447"
18077,11.6,"53,378"
18079,11.6,"55,022"
18081,6,"74,427"
18083,12.7,"48,760"
18085,9,"64,677"
18087,7.5,"70,746"
18089,14.5,"57,280"
18091,13.4,"56,427"
18093,10.5,"56,261"
18095,13.1,"54,145"
18097,15.2,"50,707"
18099,10.9,"53,695"
18101,10.9,"56,735"
18103,13,"53,658"
18105,20.8,"53,113"
18107,12.1,"54,366"
18109,8.9,"63,414"
18111,9.5,"61,457"
18113,7.8,"60,980"
18115,9.6,"58,294"
18117,14.1,"47,931"
18119,12,"53,387"
18121,15.1,"51,554"
18123,12.1,"53,908"
18125,9.4,"52,378"
18127,8.1,"74,064"
18129,8.6,"68,435"
18131,11.2,"52,432"
18133,10.5,"64,098"
18135,13.3,"50,496"
18137,9.1,"61,219"
18139,11,"54,371"
18141,15.3,"53,881"
18143,13.6,"50,571"
18145,10.1,"59,798"
18147,8.7,"59,183"
18149,13.3,"54,001"
18151,8.6,"59,444"
18153,14.4,"53,375"
18155,14.5,"52,482"
18157,16.1,"51,228"
18159,7.8,"69,960"
18161,9.6,"53,866"
18163,14.4,"51,603"
18165,12.2,"50,723"
18167,20.8,"48,082"
18169,10.9,"59,874"
18171,9.4,"64,109"
18173,6.3,"79,644"
18175,12.1,"51,948"
18177,15.2,"47,885"
18179,7.4,"61,636"
18181,10.3,"58,295"
18183,7.7,"67,347"
19001,10.7,"57,977"
19003,12.5,"53,385"
19005,13,"56,240"
19007,19.3,"41,672"
19009,10.9,"53,197"
19011,7.8,"70,023"
19013,13.7,"60,010"
