fips,unemployment_rate_2019,med_household_inc_19,med_hh_income_percent_of_state_total_2019
19021,2.1,"57,048",92.3
19023,3.2,"57,080",92.4
19025,2.6,"57,007",92.2
19027,1.9,"61,379",99.3
19029,2.8,"53,692",86.9
19031,2.5,"71,029",114.9
19033,2.7,"54,589",88.3
19035,2.5,"59,901",96.9
19037,2.9,"60,111",97.3
19039,2.9,"57,708",93.4
19041,2.8,"57,174",92.5
19043,3.7,"53,223",86.1
19045,3.7,"56,865",92
19047,3.6,"58,077",94
19049,2,"97,535",157.8
19051,2.9,"57,150",92.5
19053,2.2,"44,873",72.6
19055,2.4,"70,091",113.4
19057,4,"53,547",86.6
19059,2.9,"66,211",107.1
19061,2.6,"62,481",101.1
19063,2.6,"55,635",90
19065,3.6,"53,142",86
19067,3.6,"55,369",89.6
19069,2.3,"55,847",90.4
19071,2.8,"60,498",97.9
19073,2.4,"55,562",89.9
19075,2.8,"73,683",119.2
19077,3,"64,965",105.1
19079,2.9,"63,234",102.3
19081,2.4,"62,030",100.4
19083,3.2,"57,103",92.4
19085,2.4,"63,901",103.4
19087,2.7,"57,747",93.4
19089,2.8,"58,028",93.9
19091,2.7,"56,695",91.7
19093,2,"58,249",94.2
19095,2.2,"66,861",108.2
19097,3.2,"57,687",93.3
19099,2.9,"67,317",108.9
19101,2.4,"51,741",83.7
19103,2,"67,295",108.9
19105,3.2,"63,399",102.6
19107,3.3,"54,937",88.9
19109,2.2,"59,568",96.4
19111,3.9,"51,089",82.7
19113,2.9,"64,783",104.8
19115,3.1,"60,544",98
19117,2.1,"53,085",85.9
19119,1.6,"66,139",107
19121,3.6,"72,578",117.4
19123,2.5,"59,242",95.8
19125,2.1,"66,381",107.4
19127,4.5,"55,631",90
19129,2.3,"72,679",117.6
19131,1.7,"61,247",99.1
19133,3,"53,104",85.9
19135,3.1,"56,397",91.2
19137,2.7,"52,715",85.3
19139,2.9,"61,767",99.9
19141,2.2,"60,298",97.6
19143,1.9,"60,702",98.2
19145,2.6,"52,179",84.4
19147,2.2,"55,074",89.1
19149,2.2,"69,165",111.9
19151,1.9,"56,146",90.8
19153,2.8,"67,331",108.9
19155,2.4,"60,322",97.6
19157,2.7,"57,741",93.4
19159,2.9,"50,890",82.3
19161,2.4,"59,392",96.1
19163,3.3,"65,724",106.3
19165,2.1,"60,498",97.9
19167,1.9,"71,566",115.8
19169,1.9,"64,151",103.8
19171,3.1,"56,281",91.1
19173,1.9,"51,510",83.3
19175,3.2,"52,914",85.6
19177,2.7,"50,425",81.6
19179,3.7,"50,533",81.8
19181,2.5,"79,557",128.7
19183,2.5,"63,230",102.3
19185,2.6,"49,962",80.8
19187,3.1,"53,344",86.3
19189,2.8,"50,258",81.3
19191,2.9,"65,482",105.9
19193,2.7,"58,419",94.5
19195,2.8,"60,139",97.3
19197,2.6,"54,251",87.8
20000,3.2,"62,028",100
20001,3.5,"46,690",75.3
20003,3.3,"51,352",82.8
20005,5.2,"51,860",83.6
20007,2.5,"50,660",81.7
20009,3.1,"50,754",81.8
20011,4.2,"47,452",76.5
20013,3.2,"47,558",76.7
20015,3.2,"66,199",106.7
20017,2.8,"51,022",82.3
20019,3.9,"43,664",70.4
20021,3.4,"47,682",76.9
20023,2.4,"47,323",76.3
20025,2.3,"59,085",95.3
20027,3.2,"52,781",85.1
20029,3.2,"46,299",74.6
20031,4.5,"62,715",101.1
20033,2.6,"47,854",77.1
20035,3.4,"51,537",83.1
20037,3.9,"42,723",68.9
20039,3,"46,878",75.6
20041,3.6,"58,066",93.6
20043,3.4,"52,596",84.8
20045,2.9,"62,559",100.9
20047,2.6,"49,047",79.1
20049,3.7,"41,930",67.6
20051,2.3,"51,237",82.6
20053,2.8,"56,988",91.9
20055,2.3,"57,412",92.6
20057,2.5,"54,604",88
20059,3.3,"55,984",90.3
20061,4.4,"58,978",95.1
20063,2.1,"52,986",85.4
20065,3.1,"48,912",78.9
20067,2.9,"65,178",105.1
20069,2,"69,077",111.4
20071,2.3,"58,492",94.3
20073,3.2,"44,876",72.3
20075,1.9,"55,857",90.1
20077,2.5,"47,540",76.6
20079,2.9,"62,961",101.5
20081,2.3,"62,477",100.7
20083,2.4,"58,360",94.1
20085,2.9,"60,615",97.7
20087,3.1,"68,549",110.5
20089,2.8,"46,017",74.2
20091,2.8,"91,913",148.2
20093,2.3,"67,301",108.5
20095,3.2,"56,907",91.7
20097,2.3,"49,588",79.9
20099,4,"44,170",71.2
20101,2.6,"60,315",97.2
20103,3.4,"75,840",122.3
20105,2.3,"47,557",76.7
20107,5.9,"62,876",101.4
20109,2,"53,538",86.3
20111,3.4,"49,840",80.4
20113,2.2,"65,834",106.1
20115,3,"51,771",83.5
20117,2.9,"55,858",90.1
20119,2.3,"64,640",104.2
20121,3.3,"74,428",120
20123,2.4,"51,979",83.8
20125,4.1,"44,240",71.3
20127,2.7,"54,775",88.3
20129,2.9,"56,175",90.6
20131,2.8,"63,373",102.2
20133,4.6,"49,533",79.9
20135,2.5,"54,727",88.2
20137,2.2,"49,739",80.2
20139,3.6,"55,655",89.7
20141,2,"46,351",74.7
20143,2.7,"58,729",94.7
20145,2.9,"65,141",105
20147,2.6,"51,546",83.1
20149,2.8,"73,685",118.8
20151,2.5,"53,980",87
20153,2.2,"50,768",81.8
20155,3.2,"53,371",86
20157,2.6,"47,082",75.9
20159,2.8,"56,350",90.8
20161,2.8,"51,996",83.8
20163,3.5,"49,485",79.8
20165,2.8,"53,189",85.7
20167,2.9,"46,112",74.3
20169,3,"56,741",91.5
20171,1.9,"62,914",101.4
20173,3.5,"60,014",96.8
20175,3.1,"55,727",89.8
20177,3.3,"59,451",95.8
20179,2.2,"54,627",88.1
20181,2.7,"54,000",87.1
20183,2.5,"45,915",74
20185,2.7,"51,007",82.2
20187,2.5,"63,401",102.2
20189,2.6,"61,264",98.8
20191,3.4,"53,618",86.4
20193,2.3,"58,652",94.6
20195,2.8,"52,597",84.8
20197,3.2,"66,168",106.7
20199,2.6,"54,714",88.2
20201,2.6,"46,263",74.6
20203,2,"54,009",87.1
20205,4,"46,243",74.6
20207,4.2,"43,751",70.5
20209,4.3,"47,292",76.2
21000,4.3,"52,256",100
21001,5.3,"37,650",72
21003,4.2,"47,307",90.5
21005,3.7,"61,308",117.3
21007,5.7,"48,053",92
21009,4.5,"44,859",85.8
21011,6.2,"42,248",80.8
21013,6.4,"30,940",59.2
21015,3.4,"78,806",150.8
21017,3.8,"47,046",90
21019,5.7,"50,017",95.7
21021,4.7,"53,644",102.7
21023,4.9,"53,289",102
21025,7.5,"33,407",63.9
21027,5.3,"46,069",88.2
21029,4.1,"66,335",126.9
21031,4.8,"46,305",88.6
21033,5,"44,144",84.5
21035,4.1,"45,574",87.2
21037,3.5,"66,520",127.3
21039,4.2,"49,659",95
21041,4,"51,672",98.9
21043,8.3,"43,492",83.2
21045,4.2,"34,751",66.5
21047,5.6,"46,390",88.8
21049,3.9,"55,428",106.1
21051,7,"30,175",57.7
21053,5.5,"34,005",65.1
21055,4.9,"44,595",85.3
21057,4.2,"34,897",66.8
21059,3.9,"52,620",100.7
21061,4.9,"47,482",90.9
21063,8.2,"34,262",65.6
21065,5,"35,004",67
21067,3.3,"58,981",112.9
21069,5.4,"43,943",84.1
21071,6.4,"35,828",68.6
21073,3.7,"58,917",112.7
21075,5.7,"34,376",65.8
21077,4,"55,273",105.8
21079,4.6,"51,757",99
21081,4.1,"55,210",105.7
21083,4.6,"48,038",91.9
21085,5,"43,771",83.8
21087,4.4,"38,896",74.4
21089,6.6,"52,179",99.9
21091,3.8,"60,626",116
21093,4.1,"57,711",110.4
21095,9.6,"30,050",57.5
21097,4.3,"51,475",98.5
21099,4.7,"42,718",81.7
21101,3.8,"53,199",101.8
21103,3.7,"51,806",99.1
21105,4.8,"52,331",100.1
21107,4.6,"48,769",93.3
21109,6.5,"34,940",66.9
21111,4,"59,025",113
21113,3.6,"62,533",119.7
21115,6.6,"31,202",59.7
21117,3.6,"68,692",131.5
21119,6.9,"32,613",62.4
21121,6,"31,634",60.5
21123,4.5,"49,785",95.3
21125,4.9,"44,033",84.3
21127,7.1,"38,055",72.8
21129,5.7,"30,905",59.1
21131,8.2,"32,202",61.6
21133,7.4,"32,435",62.1
21135,8.9,"37,410",71.6
21137,5,"43,220",82.7
21139,5.7,"50,521",96.7
21141,4,"48,902",93.6
21143,4.7,"52,978",101.4
21145,4.9,"48,219",92.3
21147,6,"32,701",62.6
21149,4.4,"51,184",97.9
21151,3.9,"50,316",96.3
21153,11,"32,045",61.3
21155,3.9,"48,062",92
21157,4.7,"57,945",110.9
21159,6.9,"34,291",65.6
21161,5.8,"47,861",91.6
21163,4.6,"54,946",105.1
21165,6.9,"37,457",71.7
21167,4.6,"55,267",105.8
21169,4.8,"38,978",74.6
21171,3.9,"36,512",69.9
21173,5.3,"52,903",101.2
21175,5.4,"37,433",71.6
21177,6.2,"45,049",86.2
21179,4.5,"64,795",124
21181,4.4,"38,084",72.9
21183,5.1,"47,542",91
21185,3.3,"101,152",193.6
21187,4.6,"51,494",98.5
21189,7,"28,727",55
21191,3.8,"58,962",112.8
21193,6.1,"38,000",72.7
21195,5.8,"36,875",70.6
21197,5.4,"41,760",79.9
21199,4.7,"43,568",83.4
21201,5.4,"47,017",90
21203,4.8,"40,790",78.1
21205,5.3,"44,068",84.3
21207,5.7,"44,056",84.3
21209,3.5,"74,719",143
21211,3.4,"71,737",137.3
21213,4.5,"52,931",101.3
21215,3.6,"79,863",152.8
21217,4.3,"48,485",92.8
21219,3.9,"47,742",91.4
21221,4.7,"49,955",95.6
21223,4.4,"58,998",112.9
21225,4.5,"49,870",95.4
21227,3.9,"53,238",101.9
21229,3.9,"51,286",98.1
21231,5.8,"34,449",65.9
21233,4,"49,079",93.9
21235,5.2,"38,191",73.1
21237,7.1,"32,773",62.7
21239,3.1,"67,815",129.8
22000,4.8,"51,108",100
22001,5.3,"44,728",87.5
22003,5.7,"47,111",92.2
22005,4.1,"83,072",162.5
22007,6.1,"51,763",101.3
22009,5.8,"38,316",75
22011,5.2,"55,343",108.3
22013,5.9,"37,198",72.8
22015,4.3,"54,080",105.8
22017,5.4,"45,613",89.2
22019,4.1,"53,050",103.8
22021,6.1,"44,007",86.1
22023,3.8,"60,317",118
22025,6.4,"36,794",72
22027,5.7,"36,497",71.4
22029,6.5,"36,276",71
22031,6,"47,347",92.6
22033,4.4,"56,303",110.2
22035,10.6,"29,943",58.6
22037,4.6,"50,041",97.9
22039,5.9,"35,146",68.8
22041,7.2,"35,484",69.4
22043,5.8,"49,544",96.9
22045,5.4,"47,731",93.4
22047,5.9,"55,198",108
22049,4.7,"43,232",84.6
22051,4.2,"55,909",109.4
22053,4.7,"47,988",93.9
22055,4.3,"60,053",117.5
22057,4.5,"54,145",105.9
22059,4.3,"51,014",99.8
22061,5.4,"41,608",81.4
22063,4.1,"63,852",124.9
22065,8.1,"32,229",63.1
22067,8.3,"34,922",68.3
22069,6,"49,536",96.9
22071,4.9,"45,092",88.2
22073,5.3,"43,235",84.6
22075,4.3,"60,795",119
22077,5.4,"48,011",93.9
22079,5.1,"49,687",97.2
22081,5.1,"39,806",77.9
22083,6.3,"39,586",77.5
22085,5.1,"45,486",89
22087,4.9,"45,806",89.6
22089,4.3,"71,579",140.1
22091,6.1,"43,376",84.9
22093,6,"57,250",112
22095,5.6,"54,944",107.5
22097,6.3,"39,599",77.5
22099,5.1,"47,247",92.4
22101,5.9,"40,918",80.1
22103,4.2,"71,526",140
22105,5.5,"47,860",93.6
22107,8.3,"31,436",61.5
22109,4.6,"51,719",101.2
22111,5.8,"44,617",87.3
22113,5.1,"50,193",98.2
22115,6.2,"51,652",101.1
22117,5.9,"35,505",69.5
22119,6.1,"38,386",75.1
22121,4.5,"65,344",127.9
22123,10.7,"42,614",83.4
22125,4.1,"65,296",127.8
22127,6.3,"43,166",84.5
23000,3,"58,824",100
23001,3,"58,958",100.2
23003,4.6,"40,675",69.1
23005,2.4,"75,254",127.9
23007,3.8,"51,136",86.9
23009,3.5,"58,926",100.2
23011,2.9,"55,358",94.1
23013,2.9,"55,910",95
23015,3,"58,619",99.7
23017,3.6,"50,344",85.6
23019,3.2,"50,702",86.2
23021,3.7,"43,509",74
23023,2.3,"65,841",111.9
23025,4.5,"45,333",77.1
23027,3.2,"51,073",86.8
23029,4.6,"39,068",66.4
23031,2.7,"66,803",113.6
24000,3.6,"86,644",100
24001,5.2,"48,170",55.6
24003,3.1,"100,916",116.5
24005,3.7,"76,972",88.8
24009,3.2,"111,056",128.2
24011,3.6,"60,143",69.4
24013,2.9,"101,810",117.5
24015,4,"75,307",86.9
24017,3.6,"102,510",118.3
24019,4.8,"48,709",56.2
24021,3.2,"102,951",118.8
24023,4.4,"59,253",68.4
24025,3.3,"91,492",105.6
24027,2.7,"121,329",140
24029,4,"65,615",75.7
24031,2.9,"110,012",127
24033,3.8,"85,357",98.5
24035,3.1,"101,350",117
24037,3.3,"89,123",102.9
24039,6.1,"38,731",44.7
24041,3.4,"75,714",87.4
24043,3.9,"59,785",69
24045,4.6,"54,351",62.7
24047,7.4,"65,821",76
24510,5.1,"49,780",57.5
25000,2.9,"85,700",100
25001,3.9,"82,686",96.5
25003,3.5,"58,805",68.6
25005,3.7,"69,857",81.5
25007,4.1,"76,036",88.7
25009,3,"83,253",97.1
25011,2.7,"60,143",70.2
25013,4.1,"59,918",69.9
25015,2.7,"74,142",86.5
25017,2.3,"106,543",124.3
25019,4.2,"96,030",112.1
25021,2.5,"106,851",124.7
25023,3,"90,584",105.7
25025,2.6,"75,843",88.5
25027,3.1,"77,795",90.8
26000,4.1,"59,522",100
26001,6.3,"41,491",69.7
26003,7.8,"52,285",87.8
26005,3.1,"66,568",111.8
26007,4.7,"43,676",73.4
26009,5.1,"58,317",98
26011,6.6,"44,017",74
26013,6.3,"48,371",81.3
26015,3.2,"67,703",113.7
26017,4.7,"50,130",84.2
26019,5.1,"56,934",95.7
26021,4,"50,659",85.1
26023,3.9,"52,255",87.8
26025,4.1,"50,205",84.3
26027,4.3,"55,029",92.5
26029,4.6,"58,831",98.8
26031,8.7,"47,876",80.4
26033,6.3,"49,610",83.3
26035,6.1,"42,480",71.4
26037,3,"72,666",122.1
26039,5.6,"49,114",82.5
26041,5.2,"48,880",82.1
26043,4.2,"53,751",90.3
26045,3.4,"65,891",110.7
26047,5.4,"59,456",99.9
26049,4.9,"50,554",84.9
26051,5.7,"46,458",78.1
26053,5.2,"39,030",65.6
26055,3.4,"65,041",109.3
26057,4.4,"51,046",85.8
26059,4.2,"50,015",84
26061,4.9,"45,006",75.6
26063,4.4,"49,126",82.5
26065,3.5,"54,704",91.9
26067,3.4,"59,582",100.1
26069,6,"43,605",73.3
26071,5.5,"46,814",78.6
26073,3.8,"46,677",78.4
26075,3.8,"56,001",94.1
26077,3.3,"56,739",95.3
26079,5.6,"47,620",80
26081,2.9,"66,560",111.8
26083,6.9,"47,318",79.5
26085,6.4,"38,044",63.9
26087,5.4,"66,415",111.6
26089,3.7,"72,888",122.5
26091,3.9,"55,466",93.2
26093,3.3,"87,827",147.6
26095,6.2,"45,464",76.4
26097,9.3,"44,986",75.6
26099,4.2,"65,051",109.3
26101,5.5,"50,047",84.1
26103,4.8,"54,913",92.3
26105,4.9,"49,869",83.8
26107,4.7,"47,705",80.1
26109,4,"49,189",82.6
26111,3.7,"69,859",117.4
26113,4.8,"51,317",86.2
26115,3.9,"64,341",108.1
26117,4.1,"52,089",87.5
26119,8.3,"40,126",67.4
26121,4.3,"50,730",85.2
26123,4.2,"51,772",87
26125,3.4,"81,257",136.5
26127,5.9,"52,319",87.9
26129,6.7,"41,347",69.5
26131,6.8,"45,531",76.5
26133,4,"47,343",79.5
26135,6.9,"44,594",74.9
26137,4.9,"52,392",88
26139,2.8,"69,827",117.3
26141,7.6,"47,339",79.5
26143,7.5,"42,546",71.5
26145,4.8,"48,471",81.4
26147,4.9,"60,208",101.2
26149,4.3,"54,024",90.8
26151,4.7,"49,917",83.9
26153,7,"50,256",84.4
26155,4.3,"55,633",93.5
26157,5.1,"52,342",87.9
26159,4.6,"58,733",98.7
26161,2.9,"76,728",128.9
26163,5.1,"50,753",85.3
26165,4.5,"53,146",89.3
27000,3.2,"74,529",100
27001,6.2,"51,936",69.7
27003,3.1,"83,363",111.9
27005,4,"61,311",82.3
27007,4.3,"54,638",73.3
27009,3.9,"63,395",85.1
27011,4.2,"52,692",70.7
27013,2.8,"60,408",81.1
27015,3.6,"62,904",84.4
27017,4.5,"65,749",88.2
27019,2.8,"101,891",136.7
27021,5.5,"54,267",72.8
27023,3.9,"54,984",73.8
27025,3.8,"84,811",113.8
27027,3,"64,874",87
27029,8.2,"54,896",73.7
27031,4.3,"58,664",78.7
27033,3.7,"53,725",72.1
27035,4.3,"60,384",81
27037,2.9,"89,075",119.5
27039,3.4,"86,436",116
27041,3.2,"67,592",90.7
27043,4.2,"54,193",72.7
27045,3.3,"62,716",84.1
27047,3.4,"56,716",76.1
27049,3,"71,497",95.9
27051,4.5,"55,247",74.1
27053,2.8,"82,323",110.5
27055,3.2,"64,920",87.1
27057,5.4,"56,064",75.2
27059,4.1,"77,963",104.6
27061,6,"58,660",78.7
27063,3.4,"57,915",77.7
27065,5.9,"63,595",85.3
27067,3.5,"64,129",86
27069,3.6,"62,762",84.2
27071,6.4,"52,545",70.5
27073,3.7,"56,825",76.2
27075,3.6,"61,082",82
27077,4.1,"56,244",75.5
27079,4.5,"75,519",101.3
27081,3.8,"55,328",74.2
27083,3.2,"63,849",85.7
27085,3.7,"64,380",86.4
27087,4.7,"46,702",62.7
27089,5.9,"59,793",80.2
27091,3.8,"54,602",73.3
27093,3.9,"63,812",85.6
27095,5.4,"59,262",79.5
27097,5.2,"61,847",83
27099,3,"55,276",74.2
27101,4.3,"61,007",81.9
27103,2.5,"71,067",95.4
27105,3,"57,300",76.9
27107,4.8,"53,961",72.4
27109,2.6,"80,631",108.2
27111,4.2,"59,901",80.4
27113,4.6,"55,870",75
27115,5.5,"55,684",74.7
27117,3.5,"55,405",74.3
27119,4,"60,582",81.3
27121,3.1,"59,442",79.8
27123,3,"68,652",92.1
27125,5.3,"58,384",78.3
27127,3.7,"60,097",80.6
27129,4.5,"59,110",79.3
27131,3.1,"72,438",97.2
27133,2.3,"63,451",85.1
27135,3.9,"62,924",84.4
27137,4,"60,228",80.8
27139,2.7,"108,718",145.9
27141,3.5,"95,323",127.9
27143,3.8,"66,757",89.6
27145,3.2,"66,449",89.2
27147,3.2,"68,603",92
27149,2.7,"59,045",79.2
27151,4.4,"60,127",80.7
27153,4.4,"51,746",69.4
27155,3.7,"57,602",77.3
27157,3.3,"63,435",85.1
27159,6.2,"50,663",68
27161,3.9,"63,907",85.7
27163,2.8,"100,857",135.3
27165,4,"57,290",76.9
27167,3.4,"69,890",93.8
27169,2.9,"64,219",86.2
27171,3.3,"91,374",122.6
27173,3.8,"61,074",81.9
28000,5.4,"45,928",100
28001,7.1,"34,583",75.3
28003,4.7,"43,496",94.7
28005,7,"41,575",90.5
28007,6.2,"36,905",80.4
28009,6.1,"37,875",82.5
28011,7,"30,309",66
28013,5.5,"38,648",84.1
28015,6.3,"44,885",97.7
28017,5.6,"37,533",81.7
28019,5.5,"41,146",89.6
28021,10.7,"31,221",68
28023,6.2,"42,826",93.2
28025,7.5,"33,653",73.3
28027,7.7,"30,242",65.8
28029,6.6,"42,299",92.1
28031,4.9,"42,076",91.6
28033,4.4,"67,450",146.9
28035,5.1,"40,224",87.6
28037,6.8,"41,420",90.2
28039,7.4,"51,858",112.9
28041,7.8,"48,641",105.9
28043,5.1,"40,561",88.3
28045,5.6,"50,401",109.7
28047,5.2,"49,619",108
28049,5.2,"44,773",97.5
28051,10.3,"26,348",57.4
28053,10.1,"28,464",62
28055,11.3,"30,944",67.4
28057,4.7,"49,214",107.2
28059,6,"53,414",116.3
28061,6.8,"40,923",89.1
28063,15.5,"30,871",67.2
28065,6.9,"32,077",69.8
28067,5.4,"41,733",90.9
28069,8,"33,472",72.9
28071,4.5,"54,034",117.6
28073,4.2,"62,606",136.3
28075,5.5,"41,604",90.6
28077,6.8,"43,668",95.1
28079,5.5,"41,007",89.3
28081,4.4,"50,803",110.6
28083,7.5,"29,687",64.6
28085,5.6,"45,062",98.1
28087,5.3,"49,251",107.2
28089,4.4,"70,824",154.2
28091,5.5,"38,402",83.6
28093,5.7,"43,107",93.9
28095,5.5,"42,464",92.5
28097,6,"38,475",83.8
28099,5.9,"41,795",91
28101,5.5,"42,962",93.5
28103,7.3,"32,916",71.7
28105,5.6,"41,631",90.6
28107,6.6,"40,655",88.5
28109,5.2,"45,874",99.9
28111,6.7,"43,106",93.9
28113,6.5,"35,044",76.3
28115,4.3,"48,910",106.5
28117,4.9,"43,465",94.6
28119,8.2,"29,318",63.8
28121,3.9,"67,284",146.5
28123,4.5,"41,532",90.4
28125,8.4,"31,138",67.8
28127,5.2,"47,664",103.8
28129,5.2,"46,296",100.8
28131,6.6,"47,187",102.7
28133,8.9,"32,948",71.7
28135,5.8,"31,915",69.5
28137,5.6,"50,188",109.3
28139,5.1,"44,696",97.3
28141,5.1,"43,341",94.4
28143,6.2,"33,993",74
28145,4.2,"49,320",107.4
28147,7.3,"35,465",77.2
28149,6,"46,606",101.5
28151,7.6,"31,018",67.5
28153,6.1,"39,036",85
28155,5.6,"46,110",100.4
28157,10.1,"32,612",71
28159,6.1,"37,596",81.9
28161,5.7,"40,515",88.2
28163,6.4,"34,817",75.8
29000,3.3,"57,375",100
29001,3.9,"43,044",75
29003,2.8,"62,823",109.5
29005,3.7,"50,516",88
29007,3.4,"45,609",79.5
29009,3.5,"47,155",82.2
29011,3.4,"46,397",80.9
29013,4,"48,442",84.4
29015,4.8,"42,144",73.5
29017,3.9,"45,868",79.9
29019,2.4,"58,029",101.1
29021,3.1,"49,216",85.8
29023,4.7,"41,327",72
29025,3.2,"52,872",92.2
29027,2.9,"58,720",102.3
29029,4.5,"51,460",89.7
29031,2.9,"57,618",100.4
29033,3.2,"50,628",88.2
29035,4.9,"36,383",63.4
29037,3,"73,882",128.8
29039,3.7,"38,427",67
29041,3,"50,589",88.2
29043,2.7,"63,400",110.5
29045,3.6,"46,001",80.2
29047,2.9,"70,705",123.2
29049,3,"64,541",112.5
29051,2.6,"61,847",107.8
29053,3.7,"56,957",99.3
29055,3.8,"48,315",84.2
29057,3.1,"42,421",73.9
29059,4.5,"42,389",73.9
29061,3.3,"48,197",84
29063,3.1,"53,997",94.1
29065,3.6,"45,540",79.4
29067,5.1,"39,773",69.3
29069,5.5,"38,880",67.8
29071,3.2,"61,428",107.1
29073,3.4,"53,751",93.7
29075,2.7,"53,663",93.5
29077,2.7,"45,313",79
29079,3.5,"44,323",77.3
29081,3.3,"43,016",75
29083,3.7,"46,995",81.9
29085,4.2,"32,934",57.4
29087,2.8,"47,429",82.7
29089,3.1,"49,923",87
29091,4.1,"40,177",70
29093,4.8,"39,292",68.5
29095,3.7,"57,907",100.9
29097,3,"46,021",80.2
29099,3.1,"68,779",119.9
29101,3.7,"58,396",101.8
29103,2.9,"41,755",72.8
29105,6.9,"43,969",76.6
29107,3.1,"62,264",108.5
29109,3.5,"45,746",79.7
29111,3.2,"40,782",71.1
29113,3.3,"69,178",120.6
29115,4.9,"45,774",79.8
29117,2.5,"49,065",85.5
29119,3.3,"39,615",69
29121,3.4,"45,717",79.7
29123,3.4,"43,919",76.5
29125,3.5,"49,712",86.6
29127,3.2,"50,803",88.5
29129,3.2,"44,343",77.3
29131,3.8,"49,252",85.8
29133,4.1,"36,802",64.1
29135,3,"57,321",99.9
29137,4.2,"48,399",84.4
29139,3.1,"50,282",87.6
29141,4.3,"44,473",77.5
29143,4.3,"42,115",73.4
29145,3.3,"53,251",92.8
29147,3,"47,419",82.6
29149,3.9,"35,356",61.6
29151,2.4,"60,728",105.8
29153,5.8,"36,019",62.8
29155,5,"34,280",59.7
29157,2.6,"57,032",99.4
29159,3.5,"48,516",84.6
29161,3.3,"46,573",81.2
29163,3.6,"49,089",85.6
29165,2.7,"84,456",147.2
29167,3.4,"44,837",78.1
29169,4.1,"55,620",96.9
29171,3.7,"42,434",74
29173,3.1,"63,419",110.5
29175,3.9,"48,043",83.7
29177,3.6,"61,678",107.5
29179,3.7,"37,415",65.2
29181,5.5,"35,788",62.4
29183,2.5,"89,236",155.5
29185,4.6,"39,319",68.5
29186,2.7,"61,662",107.5
29187,3.7,"43,886",76.5
29189,3.1,"70,161",122.3
29195,3.2,"47,324",82.5
29197,4.4,"43,183",75.3
29199,3.1,"46,871",81.7
29201,3.5,"44,924",78.3
29203,5.6,"36,477",63.6
29205,3,"45,939",80.1
29207,4.7,"42,363",73.8
29209,5,"50,262",87.6
29211,3.5,"43,421",75.7
29213,5.1,"49,314",86
29215,4.5,"38,914",67.8
29217,3.5,"46,182",80.5
29219,2.9,"63,726",111.1
29221,4.5,"41,198",71.8
29223,4.8,"35,397",61.7
